id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
10,ABB,Mar 2018,12.16,16.0,23.69,0.0,160.5,1.3651,-62.0,215.0,189.0,8.0619,29.0,0,153.0
11,ABB,Mar 2018,12.16,16.0,23.69,0.0,160.5,1.3651,-994.0,3192.0,189.0,8.0619,29.0,0,2198.0
12,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,242.0,257.0,212.0,9.5619,31.0,0,499.0
13,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,-459.0,3050.0,212.0,9.5619,31.0,0,2591.0
14,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,225.0,401.0,279.0,11.5762,90.0,175,626.0
15,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,-206.0,5643.0,279.0,11.5762,90.0,175,5437.0
16,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,655.0,72.0,325.0,12.3905,85.0,153,727.0
17,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,-225.0,4009.0,325.0,12.3905,85.0,153,3784.0
18,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,552.0,396.0,376.0,13.4286,73.0,152,948.0
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152,4097.0
20,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,745.0,148.0,447.0,15.181,73.0,113,893.0
21,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,-922.0,4699.0,447.0,15.181,73.0,113,3777.0
22,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,797.0,416.0,565.0,17.6143,73.0,83,1213.0
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83,6038.0
66,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0
78,ADANIPORTS,Mar 2024,30.34,58.0,15.35,0.9373,5.9495,0.2283,8250.0,6768.0,38.0,12.2171,16.0,49470,15018.0
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616,14170.0
114,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0
115,ASIANPAINT,Mar 2013,11.04,17.0,34.28,0.0742,44.0714,1.5483,724.0,463.0,12.0,3.525,40.0,251,1187.0
116,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0
117,ASIANPAINT,Mar 2014,10.34,16.0,31.27,0.0616,44.3333,1.5133,816.0,586.0,13.0,4.2073,42.0,249,1402.0
118,ASIANPAINT,Mar 2015,10.48,16.0,30.09,0.0881,56.7857,1.5274,723.0,465.0,15.0,4.9396,42.0,418,1188.0
119,ASIANPAINT,Mar 2015,10.48,16.0,30.09,0.0881,56.7857,1.5274,723.0,465.0,15.0,4.9396,42.0,418,1188.0
120,ASIANPAINT,Mar 2016,12.63,19.0,27.63,0.0495,59.9592,1.3515,1377.0,866.0,18.0,6.7969,41.0,323,2243.0
121,ASIANPAINT,Mar 2016,12.63,19.0,27.63,0.0495,59.9592,1.3515,1377.0,866.0,18.0,6.7969,41.0,323,2243.0
122,ASIANPAINT,Mar 2017,13.38,20.0,26.51,0.0736,90.0541,1.2142,846.0,681.0,20.0,7.9208,51.0,560,1527.0
123,ASIANPAINT,Mar 2017,13.38,20.0,26.51,0.0736,90.0541,1.2142,846.0,681.0,20.0,7.9208,51.0,560,1527.0
124,ASIANPAINT,Mar 2018,12.47,19.0,24.95,0.0634,86.3415,1.2225,557.0,1556.0,21.0,8.7604,41.0,533,2113.0
125,ASIANPAINT,Mar 2018,12.47,19.0,24.95,0.0634,86.3415,1.2225,557.0,1556.0,21.0,8.7604,41.0,533,2113.0
126,ASIANPAINT,Mar 2019,11.48,20.0,23.31,0.1394,36.7182,1.1841,1552.0,918.0,22.0,9.8656,47.0,1320,2470.0
127,ASIANPAINT,Mar 2019,11.48,20.0,23.31,0.1394,36.7182,1.1841,1552.0,918.0,22.0,9.8656,47.0,1320,2470.0
128,ASIANPAINT,Mar 2020,13.73,21.0,27.38,0.1104,44.2353,1.2524,2520.0,518.0,28.0,10.5521,43.0,1118,3038.0
129,ASIANPAINT,Mar 2020,13.73,21.0,27.38,0.1104,44.2353,1.2524,2520.0,518.0,28.0,10.5521,43.0,1118,3038.0
130,ASIANPAINT,Mar 2021,14.77,22.0,25.04,0.0854,56.3913,1.0667,3142.0,541.0,33.0,13.3396,55.0,1093,3683.0
131,ASIANPAINT,Mar 2021,14.77,22.0,25.04,0.0854,56.3913,1.0667,3142.0,541.0,33.0,13.3396,55.0,1093,3683.0
132,ASIANPAINT,Mar 2022,10.6,17.0,22.34,0.1149,53.6842,1.2676,669.0,317.0,32.0,14.3875,61.0,1587,986.0
133,ASIANPAINT,Mar 2022,10.6,17.0,22.34,0.1149,53.6842,1.2676,669.0,317.0,32.0,14.3875,61.0,1587,986.0
134,ASIANPAINT,Mar 2023,12.16,18.0,26.23,0.1209,46.4653,1.3379,2911.0,1282.0,43.0,16.6583,60.0,1933,4193.0
135,ASIANPAINT,Mar 2023,12.16,18.0,26.23,0.1209,46.4653,1.3379,2911.0,1282.0,43.0,16.6583,60.0,1933,4193.0
136,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0
137,ASIANPAINT,Mar 2024,15.66,21.0,29.68,0.1321,41.0049,1.1871,3556.0,2548.0,57.0,19.5083,58.0,2474,6104.0
138,BAJAJ-AUTO,Mar 2013,15.65,18.0,38.85,0.0144,4446.0,1.584,824.0,1394.0,108.0,2.7907,42.0,116,2218.0
139,BAJAJ-AUTO,Mar 2013,15.65,18.0,38.85,0.0144,4446.0,1.584,824.0,1394.0,108.0,2.7907,42.0,116,2218.0
140,BAJAJ-AUTO,Mar 2014,16.79,21.0,33.23999999999999,0.0058,4837.0,1.3155,1430.0,2072.0,117.0,3.518,43.0,59,3502.0
141,BAJAJ-AUTO,Mar 2014,16.79,21.0,33.23999999999999,0.0058,4837.0,1.3155,1430.0,2072.0,117.0,3.518,43.0,59,3502.0
142,BAJAJ-AUTO,Mar 2015,14.01,19.0,27.27,0.0101,726.0,1.3526,1734.0,380.0,105.0,3.8391,48.0,112,2114.0
143,BAJAJ-AUTO,Mar 2015,14.01,19.0,27.27,0.0101,726.0,1.3526,1734.0,380.0,105.0,3.8391,48.0,112,2114.0
144,BAJAJ-AUTO,Mar 2016,17.99,21.0,28.97,0.0084,5987.0,1.3094,3622.0,68.0,140.0,4.8512,39.0,118,3690.0
145,BAJAJ-AUTO,Mar 2016,17.99,21.0,28.97,0.0084,5987.0,1.3094,3622.0,68.0,140.0,4.8512,39.0,118,3690.0
146,BAJAJ-AUTO,Mar 2017,18.75,20.0,22.84,0.0067,5897.0,1.0054,-343.0,3610.0,141.0,6.1785,39.0,120,3267.0
147,BAJAJ-AUTO,Mar 2017,18.75,20.0,22.84,0.0067,5897.0,1.0054,-343.0,3610.0,141.0,6.1785,39.0,120,3267.0
148,BAJAJ-AUTO,Mar 2018,16.74,19.0,20.66,0.0059,6250.0,1.0027,2374.0,1954.0,146.0,7.0675,41.0,121,4328.0
149,BAJAJ-AUTO,Mar 2018,16.74,19.0,20.66,0.0059,6250.0,1.0027,2374.0,1954.0,146.0,7.0675,41.0,121,4328.0
150,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0
151,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0
152,BAJAJ-AUTO,Mar 2020,17.42,17.0,24.06,0.0058,2313.6667,1.1286,5616.0,1766.0,180.0,7.4955,67.0,126,3850.0
153,BAJAJ-AUTO,Mar 2020,17.42,17.0,24.06,0.0058,2313.6667,1.1286,5616.0,1766.0,180.0,7.4955,67.0,126,3850.0
154,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0
155,BAJAJ-AUTO,Mar 2021,17.51,18.0,17.81,0.0044,929.7143,0.8256,251.0,2869.0,168.0,9.437,83.0,121,3120.0
156,BAJAJ-AUTO,Mar 2022,18.6,16.0,20.65,0.0041,881.1111,0.944,4473.0,276.0,213.0,10.3318,66.0,123,4197.0
157,BAJAJ-AUTO,Mar 2022,18.6,16.0,20.65,0.0041,881.1111,0.944,4473.0,276.0,213.0,10.3318,66.0,123,4197.0
158,BAJAJ-AUTO,Mar 2023,16.62,18.0,20.64,0.0042,204.2,1.0375,6488.0,1211.0,214.0,10.3753,65.0,124,5277.0
159,BAJAJ-AUTO,Mar 2023,16.62,18.0,20.64,0.0042,204.2,1.0375,6488.0,1211.0,214.0,10.3753,65.0,124,5277.0
160,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0
161,BAJAJ-AUTO,Mar 2024,17.18,20.0,26.61,0.066,174.4167,1.1405,6486.0,72.0,276.0,10.3806,29.0,1912,6558.0
186,BAJAJHLDNG,Mar 2013,550.74,95.0,17.94,0.0,,0.0313,104.0,369.0,167.0,9.3198,15.0,0,473.0
187,BAJAJHLDNG,Mar 2014,469.98,94.0,16.57,0.0,,0.034,353.0,519.0,179.0,10.8099,17.0,0,872.0
188,BAJAJHLDNG,Mar 2015,387.21,92.0,15.15,0.0,,0.0377,332.0,464.0,182.0,12.0658,19.0,0,796.0
238,BEL,Mar 2019,15.51,24.0,3851.02,0.9592,186.375,96.5397,618.0,896.0,3.0,0.4455,44.0,47,1514.0
239,BEL,Mar 2020,14.07,21.0,3318.18,0.8,357.25,106.2951,1921.0,649.0,3.0,0.5,37.0,44,2570.0
240,BEL,Mar 2021,14.88,23.0,3559.32,0.8305,333.9,92.8224,2498.0,2595.0,3.0,0.5364,46.0,49,5093.0
241,BEL,Mar 2022,15.62,22.0,3478.26,0.8406,397.3333,94.2822,-665.0,4872.0,3.0,0.6273,46.0,58,4207.0
242,BEL,Mar 2023,16.84,23.0,3981.33,0.52,230.0526,123.1528,3907.0,2708.0,4.0,0.6818,44.0,39,1199.0
243,BEL,Mar 2024,19.66,25.0,4744.05,0.5119,476.75,125.8882,-1265.0,5924.0,5.0,0.7636,40.0,43,4659.0
244,BHEL,Mar 2013,13.69,19.0,21.91,0.0883,82.9297,0.6809,646.0,1113.0,18.0,6.2345,20.0,2698,1759.0
256,BOSCHLTD,Dec 2012,11.06,16.0,17.19,0.0413,286.5,1.0958,47.0,824.0,305.0,17.9774,20.0,230,871.0
258,BOSCHLTD,Mar 2015,11.07,16.0,18.21,0.0151,179.8571,1.1587,213.0,1183.0,426.0,23.7,20.0,111,1396.0
259,BOSCHLTD,Mar 2016,15.78,19.0,16.06,0.0052,192.3846,0.7803,323.0,995.0,488.0,30.7581,17.0,50,1318.0
260,BOSCHLTD,Mar 2017,16.68,19.0,19.79,0.0,106.4815,0.8843,2703.0,1246.0,570.0,29.33,29.0,0,1457.0
262,BOSCHLTD,Mar 2019,13.22,18.0,17.51,0.0,211.8462,0.9508,2359.0,1766.0,542.0,30.4233,19.0,0,593.0
267,BOSCHLTD,Mar 2024,14.89,13.0,20.64,0.0032,71.7843,0.9638,1536.0,283.0,844.0,40.2133,44.0,39,1253.0
285,BRITANNIA,Mar 2018,10.13,15.0,29.48,0.059,208.375,1.9109,292.0,957.0,42.0,14.1917,30.0,201,1249.0
286,BRITANNIA,Mar 2019,10.45,16.0,27.16,0.0367,215.3333,1.7722,304.0,852.0,48.0,17.7208,31.0,156,1156.0
287,BRITANNIA,Mar 2020,12.02,16.0,31.66,0.3493,27.3506,1.4815,-41.0,1526.0,58.0,18.3458,60.0,1538,1485.0
288,BRITANNIA,Mar 2021,14.09,19.0,52.17,0.5981,25.4234,1.642,2309.0,433.0,77.0,14.7833,204.0,2122,1876.0
289,BRITANNIA,Mar 2022,10.72,16.0,59.27,0.9699,16.8264,1.878,2214.0,914.0,63.0,10.6583,89.0,2481,1300.0
290,BRITANNIA,Mar 2023,14.21,17.0,65.53,0.848,20.284,1.7432,1019.0,1507.0,96.0,14.725,75.0,2997,2526.0
291,BRITANNIA,Mar 2024,12.73,19.0,54.15,0.524,20.5976,1.8484,3050.0,477.0,89.0,16.4208,83.0,2065,2573.0
316,CIPLA,Mar 2013,18.66,2214.0,17.13,0.1072,24.8653,0.7102,-665.0,2063.0,19.0,5.6019,10.0,967,1398.0
327,CIPLA,Mar 2024,16.12,6291.0,15.55,0.0209,35.3388,0.7922,1152.0,2982.0,51.0,16.5876,25.0,559,4134.0
328,COALINDIA,Mar 2013,25.41,18087.0,35.81,0.0269,5.7406,0.6154,7276.0,1833.0,27.0,0.7674,51.0,1305,9109.0
329,COALINDIA,Mar 2014,21.4,17766.0,35.64,0.0042,7.3744,0.6729,23105.0,8580.0,24.0,0.6714,121.0,178,14525.0
330,COALINDIA,Mar 2015,18.52,17343.0,34.02,0.0101,8.6454,0.6661,15276.0,894.0,22.0,0.6389,95.0,408,14382.0
331,COALINDIA,Mar 2016,18.32,18714.0,40.96,0.0344,9.9631,0.6856,21308.0,8154.0,23.0,0.5515,121.0,1199,13154.0
332,COALINDIA,Mar 2017,11.87,12448.0,37.85,0.1229,12.3649,0.6591,16916.0,455.0,15.0,0.395,133.0,3014,16461.0
334,COALINDIA,Mar 2019,17.54,25007.0,66.01,0.0835,12.7878,0.7486,8460.0,7896.0,28.0,0.4293,46.0,2210,16356.0
335,COALINDIA,Mar 2020,17.38,21581.0,51.93,0.2001,11.5646,0.6404,6010.0,1033.0,27.0,0.5218,44.0,6434,4977.0
336,COALINDIA,Mar 2021,14.11,18628.0,34.78,0.1611,19.0858,0.559,10774.0,182.0,21.0,0.5925,78.0,5884,10592.0
337,COALINDIA,Mar 2022,15.84,24721.0,40.28,0.0815,21.9912,0.6114,15392.0,25715.0,28.0,0.7,60.0,3514,41107.0
338,COALINDIA,Mar 2023,22.95,44232.0,52.14,0.0712,14.3372,0.6245,12269.0,23465.0,52.0,0.9872,47.0,4331,35734.0
339,COALINDIA,Mar 2024,26.26,47971.0,45.17,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523,18103.0
340,DABUR,Mar 2013,12.48,16.0,36.56,0.5494,18.5085,1.3039,248.0,622.0,4.0,1.204,34.0,1151,870.0
341,DABUR,Mar 2014,12.98,16.0,34.48999999999999,0.2666,23.8519,1.3287,994.0,104.0,5.0,1.5264,33.0,708,1098.0
342,DABUR,Mar 2015,13.7,17.0,31.84,0.2188,36.85,1.2766,171.0,876.0,6.0,1.9057,33.0,734,1047.0
343,DABUR,Mar 2016,16.12,20.0,30.06,0.193,36.1458,1.1223,457.0,730.0,7.0,2.3699,32.0,805,1187.0
344,DABUR,Mar 2017,16.81,20.0,26.41,0.2012,33.4815,0.9847,420.0,807.0,7.0,2.754,31.0,975,1227.0
345,DABUR,Mar 2018,17.59,21.0,23.8,0.1644,36.0,0.8874,551.0,541.0,8.0,3.242,81.0,938,1092.0
346,DABUR,Mar 2019,16.98,20.0,25.67,0.1241,32.7,1.0092,1837.0,338.0,8.0,3.1819,34.0,699,1499.0
347,DABUR,Mar 2020,16.67,21.0,21.92,0.079,39.94,0.9302,1097.0,517.0,8.0,3.7322,37.0,522,1614.0
348,DABUR,Mar 2021,17.73,21.0,22.12,0.0664,75.0645,0.8827,711.0,1404.0,10.0,4.3299,50.0,509,2115.0
349,DABUR,Mar 2022,16.0,21.0,20.78,0.1229,65.641,0.8864,529.0,1273.0,10.0,4.7356,53.0,1030,1802.0
350,DABUR,Mar 2023,14.75,19.0,18.96,0.1308,33.4231,0.8446,905.0,583.0,10.0,5.0695,54.0,1174,1488.0
351,DABUR,Mar 2024,14.6,19.0,18.36,0.1384,23.2419,0.8206,1042.0,971.0,10.0,5.574,53.0,1365,2013.0
352,DIVISLAB,Mar 2013,28.07,38.0,24.07,0.0132,287.0,0.6833,225.0,255.0,23.0,9.263,33.0,33,480.0
353,DIVISLAB,Mar 2014,30.53,40.0,26.08,0.0061,362.0,0.6825,252.0,305.0,29.0,10.9778,34.0,18,557.0
354,DIVISLAB,Mar 2015,27.35,38.0,24.37,0.0077,403.6667,0.7072,305.0,521.0,32.0,12.9481,31.0,27,826.0
355,DIVISLAB,Mar 2016,29.82,38.0,26.23,0.0098,303.2,0.7709,632.0,406.0,42.0,8.1,24.0,42,1038.0
356,DIVISLAB,Mar 2017,26.08,36.0,19.79,0.0067,507.3333,0.6603,10.0,1140.0,40.0,10.1075,25.0,36,1150.0
358,DIVISLAB,Mar 2019,27.36,38.0,19.45,0.0152,405.6,0.6155,269.0,685.0,51.0,13.1264,31.0,106,954.0
359,DIVISLAB,Mar 2020,25.53,34.0,18.84,0.0053,287.4286,0.6323,1133.0,83.0,52.0,13.7925,31.0,39,1216.0
360,DIVISLAB,Mar 2021,28.47,41.0,21.34,0.0005,1462.0,0.647,2022.0,75.0,75.0,17.5377,27.0,5,1947.0
361,DIVISLAB,Mar 2022,33.04000000000001,43.0,25.24,0.0003,1998.5,0.6707,-283.0,2195.0,112.0,22.1283,27.0,4,1912.0
388,DRREDDY,Mar 2013,12.9,23.0,23.98,0.5781,28.15,0.8844,-59.0,1437.0,18.0,7.4929,17.0,3682,1378.0
389,DRREDDY,Mar 2014,14.63,24.0,24.96,0.5692,26.937,0.8434,366.0,1604.0,23.0,9.2529,16.0,4477,1970.0
390,DRREDDY,Mar 2015,15.55,23.0,23.71,0.4378,34.8889,0.8139,154.0,2370.0,27.0,11.5918,15.0,4314,2524.0
391,DRREDDY,Mar 2016,13.69,23.0,16.95,0.2667,46.747,0.7658,1653.0,1610.0,25.0,14.7871,16.0,3352,3263.0
398,DRREDDY,Mar 2023,18.27,26.0,19.35,0.0578,52.035,0.7659,1779.0,4109.0,54.0,28.0554,15.0,1347,5888.0
399,DRREDDY,Mar 2024,19.91,28.0,19.74,0.0709,51.7076,0.7223,509.0,4034.0,67.0,34.041,12.0,2002,4543.0
403,EICHERMOT,Mar 2016,21.68,27.0,36.63,0.0063,1008.0,1.2498,462.0,1001.0,49.0,13.5296,20.0,23,1463.0
404,EICHERMOT,Mar 2017,23.7,31.0,31.19,0.021,647.5,1.0034,-36.0,1744.0,61.0,19.7963,16.0,112,1708.0
405,EICHERMOT,Mar 2018,21.86,31.0,27.88,0.0215,669.0,0.9415,337.0,2145.0,72.0,26.037,15.0,151,2482.0
406,EICHERMOT,Mar 2019,22.49,30.0,24.7,0.021,515.0,0.8604,915.0,660.0,81.0,33.0296,15.0,187,1575.0
407,EICHERMOT,Mar 2020,19.96,24.0,18.3,0.0249,145.0,0.7353,186.0,1508.0,67.0,36.9667,19.0,249,1694.0
410,EICHERMOT,Mar 2023,20.18,24.0,19.44,0.0192,155.5,0.7523,426.0,2397.0,107.0,55.5185,35.0,288,2823.0
411,EICHERMOT,Mar 2024,24.2,26.0,22.17,0.0232,114.7059,0.7154,890.0,2834.0,146.0,66.8333,35.0,419,3724.0
419,GAIL,Mar 2020,13.12,12.0,19.31,0.1403,41.4822,0.9678,46.0,8299.0,14.0,1.0924,31.0,6912,8345.0
421,GAIL,Mar 2022,13.26,16.0,19.19,0.1437,89.5347,0.9605,3930.0,5490.0,18.0,1.444,36.0,9216,9420.0
424,GODREJCP,Mar 2013,13.18,16.0,25.51,0.7413,13.6667,0.8333,-45.0,865.0,8.0,9.7441,22.0,2456,820.0
425,GODREJCP,Mar 2014,10.78,15.0,21.7,0.6286,10.2583,0.9133,622.0,494.0,7.0,11.1029,24.0,2373,1116.0
426,GODREJCP,Mar 2015,11.8,17.0,22.64,0.6302,12.9643,0.9066,-209.0,1236.0,9.0,12.6794,21.0,2717,1027.0
428,GODREJCP,Mar 2017,14.11,21.0,24.67,0.7546,12.8766,0.7162,-383.0,2243.0,13.0,15.5941,39.0,4001,1860.0
429,GODREJCP,Mar 2018,16.59,21.0,26.11,0.5606,13.6821,0.7103,1387.0,336.0,16.0,9.2029,42.0,3508,1723.0
430,GODREJCP,Mar 2019,22.71,21.0,32.23,0.4654,10.479,0.7318,2003.0,274.0,23.0,7.1245,44.0,3382,1729.0
431,GODREJCP,Mar 2020,15.1,22.0,18.95,0.4526,9.5877,0.6661,1036.0,552.0,15.0,7.7431,55.0,3575,1588.0
432,GODREJCP,Mar 2021,15.6,22.0,18.23,0.1975,17.5507,0.7743,1738.0,292.0,17.0,9.2539,0.0,1864,2030.0
433,GODREJCP,Mar 2022,14.52,20.0,15.43,0.1475,20.3852,0.7633,607.0,844.0,17.0,11.3294,0.0,1704,1451.0
436,GRASIM,Mar 2013,13.54,21.0,19.22,0.4858,20.8272,0.6325,-1445.0,5687.0,57.0,21.3663,8.0,9550,4242.0
448,HAL,Mar 2017,14.57,18.0,1966.92,0.015,267.5,105.5882,2598.0,3021.0,36.0,2.66,31.0,2,-423.0
449,HAL,Mar 2018,10.73,19.0,1528.46,0.0231,120.6,111.5602,-140.0,594.0,30.0,2.6,54.0,3,-734.0
450,HAL,Mar 2019,11.73,23.0,1763.91,0.0602,27.9379,114.3314,-2402.0,5292.0,35.0,2.66,28.0,8,-7694.0
451,HAL,Mar 2020,13.25,23.0,2059.42,0.0145,14.7493,123.9595,203.0,1334.0,42.0,2.76,39.0,2,1537.0
452,HAL,Mar 2021,14.16,23.0,2249.31,0.0417,21.3521,123.0215,13934.0,1190.0,48.0,2.88,31.0,6,15124.0
453,HAL,Mar 2022,20.66,22.0,3324.18,0.0784,98.5538,121.8812,-2609.0,12789.0,76.0,3.06,26.0,12,10180.0
454,HAL,Mar 2023,21.58,25.0,3283.05,0.2655,130.3281,99.3653,3102.0,5734.0,87.0,3.54,32.0,47,8836.0
455,HAL,Mar 2024,25.0,32.0,3816.58,0.6181,270.8837,67.5133,1814.0,6412.0,114.0,3.98,31.0,123,8226.0
459,HAVELLS,Mar 2016,17.12,10.0,42.95,0.0443,19.1758,1.731,392.0,121.0,21.0,4.8823,29.0,134,513.0
468,HCLTECH,Jun 2013,15.79,22.0,30.69,0.0793,56.717,1.1421,2131.0,2361.0,14.0,9.4705,21.0,1044,4492.0
469,HCLTECH,Jun 2014,20.31,25.0,33.39,0.0521,76.4211,1.0722,1615.0,4842.0,23.0,13.9643,11.0,1018,6457.0
470,HCLTECH,Jun 2015,20.0,23.0,30.31,0.0268,105.6264,1.0413,3451.0,2088.0,26.0,8.6206,58.0,648,5539.0
471,HCLTECH,Mar 2017,18.09,22.0,26.12,0.0177,128.7528,1.0395,5105.0,3890.0,30.0,11.5611,40.0,582,8995.0
